image,Titel,Beschreibung
08-003 Ac Maedchen.jpg,Mädchen ,
149_18-001 violet Portrait Melanie geschenkt DSC_7595.jpg,Violet,80 x 100 cm verkauft
151_18-002 black lips Portrait DSC_7601.jpg,Black Lips,80 x 100 cm
154_19-002 cat eyes DSC_7604.jpg,Cat eyes,100 x 100 cm
158_20-008 madame bleue DSC_7593.jpg,Madame bleue,100 x 100 cm
164_22 guardiola Portrait.jpg,Guardiola,100 x 100 cm
