image,Titel,Beschreibung
260903_Vernissage_Flyer1.JPG,skip,
260903 Vernissage_Flyer.pdf,,"Flyer Vernissage 3. September 2026, 19:00"
260903 Broschuere.pdf,,Austellungsbroschüre - Exhibition Info
