image,Titel,Beschreibung
Bern Bundeshaus_7751-2.jpg,Bern Bundeshaus,12 x 24 cm
Fribourg St Nicolas Kathedrale_7707-1.jpg,Fribourg St Nicolas Kathedrale,24 x 30 cm 
Solothurn Museum Altes Zeughaus 260222_7790.jpg,Solothurn Museum zum Alten Zeughaus,24 x 30 cm 
Murten 260228_7794.jpg,Murten,24 x 30 cm 
Pilatus_7609-1.jpg,Blick vom Pilatus,12 x 24 cm
