image,Titel,Beschreibung
IMG_0049.jpg,Sils Maria,20 x 15 cm
IMG_0050.jpg,Blick von der Furtschellas Richtung Maloja,20 x 15 cm
IMG_0051.jpg,Torre Belvedere Maloja Blick Maloja Pass hinunter Richtung Italien,20 x 15 cm
